payment_id,loan_id,payment_date,due_date,amount_due,amount_paid,principal_amount,interest_amount,payment_status,payment_method,days_past_due
PAY00002308,LOAN0000883,2024-11-11,2024-11-11,1385.02,1385.02,831.01,554.01,On-Time,Check,0
PAY00002309,LOAN0009970,2024-02-21,2024-01-22,17448.71,17448.71,10469.23,6979.48,On-Time,Online,0
PAY00002310,LOAN0001673,2023-09-26,2023-09-06,642.28,642.28,385.37,256.91,Late,Online,0
PAY00002311,LOAN0002870,2023-12-19,2023-12-17,43.6,43.6,26.16,17.44,On-Time,ACH,0
PAY00002312,LOAN0002622,2023-03-05,2023-03-02,1103.5,1103.5,662.1,441.4,On-Time,ACH,0
PAY00002313,LOAN0008513,2023-01-16,2023-01-20,29861.85,29861.85,17917.11,11944.74,Late,ACH,19
PAY00002314,LOAN0003240,2024-11-09,2024-10-12,1535.19,1535.19,921.11,614.08,Late,Online,12
PAY00002315,LOAN0009842,2024-01-10,2023-12-18,15671.86,15671.86,9403.12,6268.74,On-Time,ACH,0
PAY00002316,LOAN0002816,2023-11-14,2023-11-02,567.15,891.54,534.92,356.62,Extra,Wire,0
PAY00002317,LOAN0006973,2024-01-02,2023-12-22,6468.28,6468.28,3880.97,2587.31,On-Time,Auto-Pay,0
PAY00002318,LOAN0001368,2023-01-17,2023-01-17,603.82,603.82,362.29,241.53,On-Time,Online,0
PAY00002319,LOAN0001778,2023-04-03,2023-03-29,30051.27,30051.27,18030.76,12020.51,On-Time,Online,0
PAY00002320,LOAN0003247,2024-11-28,2024-11-19,478.49,478.49,287.09,191.4,On-Time,Check,0
PAY00002321,LOAN0002497,2023-12-31,2023-12-02,829.95,829.95,497.97,331.98,On-Time,ACH,0
PAY00002322,LOAN0004427,2023-02-24,2023-02-04,1183.43,1183.43,710.06,473.37,On-Time,Wire,0
PAY00002323,LOAN0003268,2023-04-08,2023-04-10,148.93,148.93,89.36,59.57,On-Time,ACH,0
PAY00002324,LOAN0002602,2023-02-28,2023-01-31,409.06,409.06,245.44,163.62,On-Time,ACH,0
PAY00002325,LOAN0009929,2023-04-20,2023-04-05,503.9,503.9,302.34,201.56,Late,Online,29
PAY00002326,LOAN0006345,2023-07-29,2023-07-08,21236.43,21236.43,12741.86,8494.57,On-Time,ACH,0
PAY00002327,LOAN0009614,2024-05-30,2024-05-20,11451.2,11451.2,6870.72,4580.48,Late,Check,12
PAY00002328,LOAN0002879,2024-08-08,2024-07-18,276.84,276.84,166.1,110.74,Late,Auto-Pay,4
PAY00002329,LOAN0005245,2024-05-28,2024-05-04,290.47,290.47,174.28,116.19,Late,Check,19
PAY00002330,LOAN0003568,2024-03-08,2024-03-05,1955.75,1955.75,1173.45,782.3,On-Time,Auto-Pay,0
PAY00002331,LOAN0002819,2024-01-18,2023-12-24,8466.92,8466.92,5080.15,3386.77,On-Time,Check,0
PAY00002332,LOAN0001545,2024-10-01,2024-09-29,95.65,0,0.0,0.0,Missed,Wire,0
PAY00002333,LOAN0003630,2024-07-28,2024-07-15,88216.92,88216.92,52930.15,35286.77,On-Time,Auto-Pay,0
PAY00002334,LOAN0008522,2023-05-03,2023-04-04,57392.31,57392.31,34435.39,22956.92,On-Time,Auto-Pay,0
PAY00002335,LOAN0005336,2024-08-15,2024-08-10,544.76,544.76,326.86,217.9,On-Time,Check,0
PAY00002336,LOAN0000409,2023-03-03,2023-03-07,23958.6,23958.6,14375.16,9583.44,On-Time,Auto-Pay,0
PAY00002337,LOAN0000507,2024-04-13,2024-04-02,1347.92,1347.92,808.75,539.17,Late,Check,17
PAY00002338,LOAN0002769,2024-03-27,2024-03-01,8559.32,8559.32,5135.59,3423.73,On-Time,Check,0
PAY00002339,LOAN0001966,2023-11-13,2023-10-14,346.63,346.63,207.98,138.65,Late,Auto-Pay,0
PAY00002340,LOAN0009513,2024-03-08,2024-02-10,2494.03,2494.03,1496.42,997.61,On-Time,Auto-Pay,0
PAY00002341,LOAN0008136,2024-07-18,2024-07-13,1316.94,1316.94,790.16,526.78,On-Time,ACH,0
PAY00002342,LOAN0001267,2024-06-30,2024-06-03,2564.18,2564.18,1538.51,1025.67,On-Time,ACH,0
PAY00002343,LOAN0009833,2023-03-12,2023-02-15,5791.82,5791.82,3475.09,2316.73,On-Time,Wire,0
PAY00002344,LOAN0006974,2024-09-13,2024-08-19,934.33,934.33,560.6,373.73,On-Time,ACH,0
PAY00002345,LOAN0005309,2023-09-17,2023-08-24,851.07,851.07,510.64,340.43,On-Time,Wire,0
PAY00002346,LOAN0006833,2024-03-22,2024-03-24,705.17,705.17,423.1,282.07,Late,Online,11
PAY00002347,LOAN0007544,2023-09-23,2023-09-14,1097.71,1097.71,658.63,439.08,On-Time,Wire,0
PAY00002348,LOAN0005777,2023-07-18,2023-06-28,1366.94,1366.94,820.16,546.78,On-Time,ACH,0
PAY00002349,LOAN0008439,2023-09-21,2023-08-29,881.6,881.6,528.96,352.64,On-Time,Auto-Pay,0
PAY00002350,LOAN0009768,2024-12-01,2024-11-06,5269.78,5269.78,3161.87,2107.91,On-Time,ACH,0
PAY00002351,LOAN0000024,2023-04-17,2023-04-01,176.6,176.6,105.96,70.64,On-Time,Auto-Pay,0
PAY00002352,LOAN0008530,2023-07-08,2023-06-14,656.71,1257.01,754.21,502.8,Extra,Wire,0
PAY00002353,LOAN0000060,2024-02-11,2024-01-17,1476.99,1476.99,886.19,590.8,On-Time,Online,0
PAY00002354,LOAN0001695,2024-03-15,2024-02-18,23666.78,23666.78,14200.07,9466.71,Late,Auto-Pay,0
PAY00002355,LOAN0002533,2024-08-01,2024-07-30,492.11,219.48,131.69,87.79,Partial,ACH,0
PAY00002356,LOAN0000718,2023-10-21,2023-10-15,131306.18,0,0.0,0.0,Missed,Check,0
PAY00002357,LOAN0007876,2023-01-14,2023-01-18,488.23,488.23,292.94,195.29,On-Time,Wire,0
PAY00002358,LOAN0004916,2024-01-10,2023-12-23,813.08,813.08,487.85,325.23,Late,ACH,24
PAY00002359,LOAN0009241,2024-08-19,2024-07-23,16782.49,16782.49,10069.49,6713.0,On-Time,Auto-Pay,0
PAY00002360,LOAN0008034,2023-10-26,2023-10-07,14694.72,14694.72,8816.83,5877.89,On-Time,ACH,0
PAY00002361,LOAN0005996,2024-11-05,2024-10-15,27439.66,27439.66,16463.8,10975.86,On-Time,Check,0
PAY00002362,LOAN0007761,2023-06-23,2023-06-24,723.03,723.03,433.82,289.21,Late,Wire,20
PAY00002363,LOAN0007685,2023-01-07,2022-12-24,1722.4,1722.4,1033.44,688.96,On-Time,Online,0
PAY00002364,LOAN0001778,2023-02-14,2023-02-18,30051.27,30051.27,18030.76,12020.51,On-Time,Check,0
PAY00002365,LOAN0008443,2023-08-04,2023-08-02,499.36,499.36,299.62,199.74,On-Time,Online,0
PAY00002366,LOAN0007103,2024-11-15,2024-10-29,2688.22,2688.22,1612.93,1075.29,On-Time,Auto-Pay,0
PAY00002367,LOAN0005227,2024-07-28,2024-07-24,1197.94,1197.94,718.76,479.18,On-Time,ACH,0
PAY00002368,LOAN0008981,2023-08-20,2023-07-23,10797.21,10797.21,6478.33,4318.88,On-Time,Check,0
PAY00002369,LOAN0001278,2023-09-20,2023-09-07,711.88,711.88,427.13,284.75,On-Time,Check,0
PAY00002370,LOAN0008448,2023-11-10,2023-10-24,813.81,813.81,488.29,325.52,On-Time,ACH,0
PAY00002371,LOAN0000984,2024-06-15,2024-06-05,105021.52,105021.52,63012.91,42008.61,Late,Auto-Pay,0
PAY00002372,LOAN0008741,2023-04-05,2023-03-20,18535.05,18535.05,11121.03,7414.02,On-Time,Online,0
PAY00002373,LOAN0007091,2024-10-18,2024-10-21,342.01,342.01,205.21,136.8,On-Time,Check,0
PAY00002374,LOAN0007337,2023-06-09,2023-06-14,1183.73,1183.73,710.24,473.49,Late,ACH,17
PAY00002375,LOAN0007836,2024-07-29,2024-07-29,18791.7,18791.7,11275.02,7516.68,On-Time,Check,0
PAY00002376,LOAN0008469,2024-05-26,2024-05-21,226.74,226.74,136.04,90.7,On-Time,Check,0
PAY00002377,LOAN0008595,2024-05-19,2024-04-28,6369.04,6369.04,3821.42,2547.62,On-Time,Check,0
PAY00002378,LOAN0006987,2024-01-30,2024-01-15,303.78,303.78,182.27,121.51,On-Time,Check,0
PAY00002379,LOAN0003916,2023-04-08,2023-03-11,1365.19,2076.16,1245.7,830.46,Extra,Auto-Pay,0
PAY00002380,LOAN0002857,2024-06-15,2024-06-20,51774.82,51774.82,31064.89,20709.93,Late,Auto-Pay,20
PAY00002381,LOAN0009223,2023-12-06,2023-11-06,1147.99,2253.98,1352.39,901.59,Extra,ACH,0
PAY00002382,LOAN0005356,2023-12-13,2023-12-08,1651.44,1651.44,990.86,660.58,Late,Online,22
PAY00002383,LOAN0009526,2023-01-19,2023-01-02,39560.19,39560.19,23736.11,15824.08,On-Time,Auto-Pay,0
PAY00002384,LOAN0009842,2023-03-31,2023-03-24,15671.86,15671.86,9403.12,6268.74,Late,Online,22
PAY00002385,LOAN0000167,2024-11-08,2024-10-28,42874.82,42874.82,25724.89,17149.93,On-Time,Check,0
PAY00002386,LOAN0004864,2024-01-17,2024-01-07,9089.02,9089.02,5453.41,3635.61,On-Time,Online,0
PAY00002387,LOAN0000883,2023-06-13,2023-05-27,1385.02,1385.02,831.01,554.01,Late,Wire,0
PAY00002388,LOAN0002566,2023-10-20,2023-10-02,1686.71,1298.78,779.27,519.51,Partial,ACH,0
PAY00002389,LOAN0003293,2024-07-25,2024-07-27,210.83,0,0.0,0.0,Missed,ACH,0
PAY00002390,LOAN0002971,2023-01-06,2022-12-26,3389.23,4575.14,2745.08,1830.06,Extra,Wire,0
PAY00002391,LOAN0008635,2023-04-20,2023-03-25,562.39,562.39,337.43,224.96,Late,Online,24
PAY00002392,LOAN0007809,2024-11-05,2024-10-30,651.71,651.71,391.03,260.68,On-Time,Check,0
PAY00002393,LOAN0009034,2024-06-25,2024-05-26,2431.07,2431.07,1458.64,972.43,On-Time,Auto-Pay,0
PAY00002394,LOAN0005070,2023-02-11,2023-02-12,14547.57,14547.57,8728.54,5819.03,On-Time,Online,0
PAY00002395,LOAN0003909,2024-09-25,2024-09-03,26496.99,26496.99,15898.19,10598.8,Late,Wire,5
PAY00002396,LOAN0004903,2024-11-16,2024-11-03,2999.75,2184.97,1310.98,873.99,Partial,Wire,0
PAY00002397,LOAN0000402,2023-03-09,2023-02-07,983.95,983.95,590.37,393.58,On-Time,ACH,0
PAY00002398,LOAN0000681,2023-12-13,2023-11-19,171.58,171.58,102.95,68.63,On-Time,Check,0
PAY00002399,LOAN0009847,2023-02-21,2023-02-05,4727.74,2032.94,1219.76,813.18,Partial,ACH,0
PAY00002400,LOAN0000652,2024-08-08,2024-07-10,3468.84,3468.84,2081.3,1387.54,On-Time,Check,0
PAY00002401,LOAN0007625,2024-11-17,2024-11-15,19459.31,19459.31,11675.59,7783.72,On-Time,Check,0
PAY00002402,LOAN0009316,2023-06-28,2023-07-02,1900.14,1900.14,1140.08,760.06,Late,Online,13
PAY00002403,LOAN0003640,2023-03-22,2023-02-20,727.89,727.89,436.73,291.16,On-Time,Online,0
PAY00002404,LOAN0004829,2024-12-01,2024-12-04,1095.93,1095.93,657.56,438.37,Late,Wire,21
PAY00002405,LOAN0002965,2023-02-26,2023-02-23,2365.64,2365.64,1419.38,946.26,On-Time,ACH,0
PAY00002406,LOAN0003239,2024-10-11,2024-10-05,795.35,795.35,477.21,318.14,On-Time,Wire,0
PAY00002407,LOAN0000409,2023-10-01,2023-09-24,23958.6,23958.6,14375.16,9583.44,On-Time,ACH,0
PAY00002408,LOAN0005548,2023-02-22,2023-02-25,2768.79,2768.79,1661.27,1107.52,On-Time,Auto-Pay,0
PAY00002409,LOAN0007345,2023-06-08,2023-05-16,16636.35,16636.35,9981.81,6654.54,Late,Check,0
PAY00002410,LOAN0007671,2023-03-15,2023-02-17,5726.42,5726.42,3435.85,2290.57,On-Time,Online,0
PAY00002411,LOAN0003601,2024-03-05,2024-02-26,289.25,289.25,173.55,115.7,On-Time,Check,0
PAY00002412,LOAN0002265,2024-09-03,2024-08-20,7469.97,7469.97,4481.98,2987.99,On-Time,Online,0
PAY00002413,LOAN0000976,2023-08-18,2023-08-03,1076.74,0,0.0,0.0,Missed,Auto-Pay,0
PAY00002414,LOAN0009871,2024-07-29,2024-07-03,871.36,871.36,522.82,348.54,On-Time,Wire,0
PAY00002415,LOAN0003702,2023-12-16,2023-11-30,717.48,717.48,430.49,286.99,Late,Online,20
PAY00002416,LOAN0004452,2023-05-01,2023-04-28,8630.23,8630.23,5178.14,3452.09,On-Time,Online,0
PAY00002417,LOAN0009627,2024-06-17,2024-06-13,943.48,765.1,459.06,306.04,Partial,Wire,0
PAY00002418,LOAN0005523,2023-01-30,2023-01-16,1320.69,1320.69,792.41,528.28,On-Time,Wire,0
PAY00002419,LOAN0002271,2023-07-25,2023-07-08,2107.68,2107.68,1264.61,843.07,On-Time,Wire,0
PAY00002420,LOAN0000719,2023-09-14,2023-09-11,13444.07,13444.07,8066.44,5377.63,On-Time,Auto-Pay,0
PAY00002421,LOAN0007809,2024-01-01,2023-12-11,651.71,651.71,391.03,260.68,On-Time,Wire,0
PAY00002422,LOAN0007163,2023-05-18,2023-05-13,2437.03,0,0.0,0.0,Missed,Auto-Pay,0
PAY00002423,LOAN0004172,2023-05-20,2023-05-22,201.92,0,0.0,0.0,Missed,Auto-Pay,0
PAY00002424,LOAN0008389,2023-01-02,2023-01-06,2572.89,1125.94,675.56,450.38,Partial,Auto-Pay,0
PAY00002425,LOAN0001235,2023-05-03,2023-04-10,340.18,340.18,204.11,136.07,On-Time,Online,0
PAY00002426,LOAN0000653,2023-03-18,2023-03-19,49292.52,88405.89,53043.53,35362.36,Extra,Auto-Pay,0
PAY00002427,LOAN0002328,2023-08-04,2023-08-05,847.52,847.52,508.51,339.01,On-Time,ACH,0
PAY00002428,LOAN0007345,2023-12-21,2023-12-01,16636.35,16636.35,9981.81,6654.54,On-Time,Check,0
PAY00002429,LOAN0003185,2023-11-06,2023-10-08,200.83,200.83,120.5,80.33,On-Time,Wire,0
PAY00002430,LOAN0002423,2023-12-07,2023-11-28,167.06,167.06,100.24,66.82,On-Time,Auto-Pay,0
PAY00002431,LOAN0009737,2024-06-18,2024-06-22,290.83,290.83,174.5,116.33,On-Time,Auto-Pay,0
PAY00002432,LOAN0007328,2024-07-03,2024-07-02,13263.37,13263.37,7958.02,5305.35,On-Time,Online,0
PAY00002433,LOAN0009274,2024-01-26,2023-12-30,657.95,657.95,394.77,263.18,On-Time,Auto-Pay,0
PAY00002434,LOAN0009902,2024-08-15,2024-07-16,3720.66,3720.66,2232.4,1488.26,Late,Check,5
PAY00002435,LOAN0007199,2024-09-12,2024-08-24,1314.05,1314.05,788.43,525.62,On-Time,ACH,0
PAY00002436,LOAN0000494,2024-12-22,2024-11-29,7018.08,7018.08,4210.85,2807.23,On-Time,Auto-Pay,0
PAY00002437,LOAN0004326,2024-06-03,2024-05-16,877.91,877.91,526.75,351.16,On-Time,Online,0
PAY00002438,LOAN0008117,2024-06-19,2024-06-10,16487.78,10473.05,6283.83,4189.22,Partial,ACH,0
PAY00002439,LOAN0003147,2024-10-23,2024-10-11,1555.77,1555.77,933.46,622.31,On-Time,ACH,0
PAY00002440,LOAN0006044,2023-07-23,2023-07-22,597.95,597.95,358.77,239.18,Late,Check,21
PAY00002441,LOAN0000915,2023-04-09,2023-04-09,8716.62,8716.62,5229.97,3486.65,On-Time,Wire,0
PAY00002442,LOAN0000614,2023-01-25,2022-12-30,4443.93,4443.93,2666.36,1777.57,On-Time,Check,0
PAY00002443,LOAN0006051,2023-05-13,2023-04-27,3025.24,0,0.0,0.0,Missed,Wire,0
PAY00002444,LOAN0000547,2023-08-15,2023-08-13,187.74,187.74,112.64,75.1,On-Time,Online,0
PAY00002445,LOAN0006837,2024-08-01,2024-07-18,383.38,383.38,230.03,153.35,On-Time,ACH,0
PAY00002446,LOAN0003742,2023-02-15,2023-01-21,547.3,547.3,328.38,218.92,On-Time,Wire,0
PAY00002447,LOAN0007034,2024-11-03,2024-10-31,955.2,955.2,573.12,382.08,On-Time,ACH,0
PAY00002448,LOAN0005499,2023-10-14,2023-10-09,2177.65,2177.65,1306.59,871.06,On-Time,Wire,0
PAY00002449,LOAN0008903,2023-08-06,2023-07-20,3782.39,0,0.0,0.0,Missed,ACH,0
PAY00002450,LOAN0001587,2024-09-11,2024-08-14,252.82,252.82,151.69,101.13,Late,Online,26
PAY00002451,LOAN0001720,2023-02-28,2023-02-13,1115.4,1115.4,669.24,446.16,On-Time,ACH,0
PAY00002452,LOAN0006987,2024-08-25,2024-08-14,303.78,390.81,234.49,156.32,Extra,Wire,0
PAY00002453,LOAN0004912,2023-04-06,2023-04-06,313.05,313.05,187.83,125.22,On-Time,ACH,0
PAY00002454,LOAN0004985,2023-08-27,2023-08-14,48481.04,48481.04,29088.62,19392.42,On-Time,Wire,0
PAY00002455,LOAN0005733,2023-04-22,2023-04-25,48950.9,86577.99,51946.79,34631.2,Extra,Auto-Pay,0
PAY00002456,LOAN0005896,2023-10-09,2023-10-04,420.15,420.15,252.09,168.06,On-Time,Online,0
PAY00002457,LOAN0000601,2024-10-10,2024-10-03,5672.15,5672.15,3403.29,2268.86,On-Time,ACH,0
PAY00002458,LOAN0005669,2023-12-06,2023-12-05,654.18,654.18,392.51,261.67,On-Time,ACH,0
PAY00002459,LOAN0008198,2023-01-20,2023-01-17,402.55,402.55,241.53,161.02,On-Time,Auto-Pay,0
PAY00002460,LOAN0006454,2023-07-26,2023-07-18,525.23,525.23,315.14,210.09,On-Time,ACH,0
PAY00002461,LOAN0002325,2023-01-28,2023-01-23,47940.43,47940.43,28764.26,19176.17,On-Time,ACH,0
PAY00002462,LOAN0007475,2024-10-20,2024-10-09,903.09,903.09,541.85,361.24,Late,Online,16
PAY00002463,LOAN0000927,2023-11-04,2023-11-06,359.52,359.52,215.71,143.81,On-Time,Check,0
PAY00002464,LOAN0003947,2023-06-02,2023-05-28,1032.65,1032.65,619.59,413.06,On-Time,Online,0
PAY00002465,LOAN0006255,2024-07-06,2024-06-18,15715.01,0,0.0,0.0,Missed,Check,0
PAY00002466,LOAN0008389,2024-07-31,2024-07-04,2572.89,2572.89,1543.73,1029.16,Late,Check,28
PAY00002467,LOAN0009565,2024-12-29,2025-01-02,2577.36,2577.36,1546.42,1030.94,On-Time,Auto-Pay,0
PAY00002468,LOAN0005209,2023-10-22,2023-09-29,2982.02,4003.37,2402.02,1601.35,Extra,Online,0
PAY00002469,LOAN0004482,2023-07-08,2023-06-10,290.78,113.09,67.85,45.24,Partial,Check,0
PAY00002470,LOAN0005394,2023-11-13,2023-11-08,417.04,417.04,250.22,166.82,On-Time,Wire,0
PAY00002471,LOAN0004348,2024-08-24,2024-07-31,9837.4,0,0.0,0.0,Missed,Wire,0
PAY00002472,LOAN0000732,2023-11-05,2023-10-09,659.75,659.75,395.85,263.9,On-Time,Auto-Pay,0
PAY00002473,LOAN0003702,2023-03-23,2023-02-27,717.48,717.48,430.49,286.99,On-Time,Online,0
PAY00002474,LOAN0000737,2023-12-09,2023-11-09,50490.35,76794.15,46076.49,30717.66,Extra,Wire,0
PAY00002475,LOAN0001753,2024-10-12,2024-09-18,446.65,446.65,267.99,178.66,On-Time,Wire,0
PAY00002476,LOAN0003518,2023-02-13,2023-01-17,2537.5,2537.5,1522.5,1015.0,On-Time,ACH,0
PAY00002477,LOAN0000679,2024-07-24,2024-07-16,1314.41,1314.41,788.65,525.76,On-Time,ACH,0
PAY00002478,LOAN0008232,2024-02-14,2024-02-04,939.8,939.8,563.88,375.92,On-Time,ACH,0
PAY00002479,LOAN0006494,2024-10-12,2024-10-14,728.79,728.79,437.27,291.52,On-Time,Check,0
PAY00002480,LOAN0007458,2023-10-30,2023-10-11,718.23,718.23,430.94,287.29,On-Time,Wire,0
PAY00002481,LOAN0004265,2023-07-29,2023-07-17,2105.08,908.57,545.14,363.43,Partial,Auto-Pay,0
PAY00002482,LOAN0006085,2023-04-29,2023-04-20,685.93,553.92,332.35,221.57,Partial,ACH,0
PAY00002483,LOAN0007314,2024-03-12,2024-02-17,53290.47,97554.4,58532.64,39021.76,Extra,Wire,0
PAY00002484,LOAN0007485,2023-10-17,2023-10-08,196.59,147.64,88.58,59.06,Partial,ACH,0
PAY00002485,LOAN0006243,2024-07-12,2024-06-19,191.67,191.67,115.0,76.67,On-Time,Online,0
PAY00002486,LOAN0008375,2024-02-04,2024-01-29,1878.88,1878.88,1127.33,751.55,On-Time,Wire,0
PAY00002487,LOAN0007762,2023-03-18,2023-02-17,671.93,671.93,403.16,268.77,On-Time,Wire,0
PAY00002488,LOAN0007208,2024-06-22,2024-06-07,320.05,320.05,192.03,128.02,On-Time,Wire,0
PAY00002489,LOAN0009513,2023-02-02,2023-01-24,2494.03,2494.03,1496.42,997.61,On-Time,ACH,0
PAY00002490,LOAN0001419,2024-11-20,2024-10-21,2944.43,2423.93,1454.36,969.57,Partial,Check,0
PAY00002491,LOAN0001582,2023-08-30,2023-08-17,37.65,37.65,22.59,15.06,On-Time,Check,0
PAY00002492,LOAN0004665,2024-11-15,2024-10-25,1471.01,1471.01,882.61,588.4,Late,Auto-Pay,27
PAY00002493,LOAN0009618,2024-11-14,2024-11-15,1809.36,1809.36,1085.62,723.74,On-Time,Wire,0
PAY00002494,LOAN0007563,2024-07-19,2024-07-12,450.47,450.47,270.28,180.19,On-Time,Wire,0
PAY00002495,LOAN0000421,2023-01-09,2022-12-29,298.45,298.45,179.07,119.38,On-Time,Wire,0
PAY00002496,LOAN0005191,2024-08-11,2024-07-25,10476.43,10476.43,6285.86,4190.57,On-Time,Online,0
PAY00002497,LOAN0006320,2023-05-31,2023-05-27,164.97,0,0.0,0.0,Missed,Check,0
PAY00002498,LOAN0001134,2024-08-21,2024-08-26,241.62,241.62,144.97,96.65,On-Time,Auto-Pay,0
PAY00002499,LOAN0000409,2024-11-08,2024-10-24,23958.6,44936.17,26961.7,17974.47,Extra,Online,0
PAY00002500,LOAN0002488,2023-04-24,2023-04-01,1782.67,1782.67,1069.6,713.07,On-Time,Wire,0
PAY00002501,LOAN0004433,2024-08-05,2024-07-11,1594.9,2438.28,1462.97,975.31,Extra,Auto-Pay,0
PAY00002502,LOAN0008117,2024-07-02,2024-06-19,16487.78,16487.78,9892.67,6595.11,On-Time,Auto-Pay,0
PAY00002503,LOAN0009223,2024-11-07,2024-10-22,1147.99,1147.99,688.79,459.2,On-Time,Online,0
PAY00002504,LOAN0002898,2023-03-12,2023-03-17,1464.25,1969.63,1181.78,787.85,Extra,Wire,0
PAY00002505,LOAN0007758,2023-08-09,2023-08-03,975.74,975.74,585.44,390.3,On-Time,Wire,0
PAY00002506,LOAN0000179,2023-07-31,2023-07-30,575.82,575.82,345.49,230.33,On-Time,Online,0
PAY00002507,LOAN0008635,2024-11-26,2024-10-30,562.39,562.39,337.43,224.96,On-Time,Auto-Pay,0
PAY00002508,LOAN0006872,2023-10-29,2023-09-29,3184.31,3184.31,1910.59,1273.72,Late,Online,25
PAY00002509,LOAN0004918,2024-12-13,2024-12-10,23277.05,23277.05,13966.23,9310.82,On-Time,ACH,0
PAY00002510,LOAN0001792,2023-03-11,2023-02-24,1615.32,1079.19,647.51,431.68,Partial,Auto-Pay,0
PAY00002511,LOAN0007741,2023-03-05,2023-03-04,2833.43,2833.43,1700.06,1133.37,On-Time,ACH,0
PAY00002512,LOAN0008198,2024-09-08,2024-08-09,402.55,402.55,241.53,161.02,On-Time,Online,0
PAY00002513,LOAN0000025,2023-08-10,2023-07-16,11882.81,11882.81,7129.69,4753.12,On-Time,Online,0
PAY00002514,LOAN0007674,2024-04-04,2024-03-21,943.11,943.11,565.87,377.24,On-Time,Online,0
PAY00002515,LOAN0007725,2023-11-11,2023-10-25,3826.77,3826.77,2296.06,1530.71,On-Time,ACH,0
PAY00002516,LOAN0004364,2023-07-04,2023-06-05,1911.02,1911.02,1146.61,764.41,On-Time,Wire,0
PAY00002517,LOAN0007034,2024-09-20,2024-09-12,955.2,955.2,573.12,382.08,On-Time,Check,0
PAY00002518,LOAN0009163,2023-06-01,2023-05-30,555.48,555.48,333.29,222.19,On-Time,Online,0
PAY00002519,LOAN0009952,2023-01-23,2023-01-08,5778.49,5778.49,3467.09,2311.4,On-Time,Wire,0
PAY00002520,LOAN0001549,2024-01-12,2024-01-11,100947.43,100947.43,60568.46,40378.97,On-Time,ACH,0
PAY00002521,LOAN0006211,2024-10-03,2024-09-21,1939.64,1939.64,1163.78,775.86,On-Time,Online,0
PAY00002522,LOAN0005798,2023-05-03,2023-04-05,31222.23,0,0.0,0.0,Missed,Wire,0
PAY00002523,LOAN0003695,2024-11-05,2024-10-31,1405.33,1405.33,843.2,562.13,On-Time,Online,0
PAY00002524,LOAN0007608,2024-09-22,2024-09-05,148.96,148.96,89.38,59.58,Late,Wire,0
PAY00002525,LOAN0001686,2024-11-29,2024-11-07,511.24,511.24,306.74,204.5,Late,Check,2
PAY00002526,LOAN0008792,2023-02-09,2023-01-17,327.14,327.14,196.28,130.86,On-Time,Online,0
PAY00002527,LOAN0006303,2023-01-08,2022-12-17,6110.88,6110.88,3666.53,2444.35,On-Time,Wire,0
PAY00002528,LOAN0009187,2024-11-24,2024-11-01,5886.72,5886.72,3532.03,2354.69,On-Time,Wire,0
PAY00002529,LOAN0007689,2024-10-24,2024-10-18,2770.87,2770.87,1662.52,1108.35,On-Time,ACH,0
PAY00002530,LOAN0009775,2023-11-12,2023-10-21,1557.81,1557.81,934.69,623.12,On-Time,Check,0
PAY00002531,LOAN0008578,2024-03-15,2024-03-09,1465.91,1465.91,879.55,586.36,On-Time,Online,0
PAY00002532,LOAN0008513,2024-01-22,2024-01-09,29861.85,53823.58,32294.15,21529.43,Extra,Online,0
PAY00002533,LOAN0002865,2024-07-23,2024-07-07,8547.82,8547.82,5128.69,3419.13,On-Time,Auto-Pay,0
PAY00002534,LOAN0009833,2024-07-07,2024-07-11,5791.82,5791.82,3475.09,2316.73,On-Time,Auto-Pay,0
PAY00002535,LOAN0007958,2024-06-16,2024-06-01,452.59,452.59,271.55,181.04,On-Time,ACH,0
PAY00002536,LOAN0004185,2024-12-27,2024-12-08,1808.21,1808.21,1084.93,723.28,On-Time,Wire,0
PAY00002537,LOAN0004192,2023-03-04,2023-02-07,3485.86,5661.51,3396.91,2264.6,Extra,Check,0
PAY00002538,LOAN0000741,2023-02-21,2023-01-25,252.64,252.64,151.58,101.06,On-Time,Wire,0
PAY00002539,LOAN0008060,2024-12-30,2024-12-09,31772.96,31772.96,19063.78,12709.18,On-Time,Check,0
PAY00002540,LOAN0009436,2023-07-15,2023-07-15,2944.54,2944.54,1766.72,1177.82,On-Time,Check,0
PAY00002541,LOAN0005451,2024-03-26,2024-03-18,1157.91,1157.91,694.75,463.16,On-Time,Auto-Pay,0
PAY00002542,LOAN0003905,2024-07-30,2024-07-13,620.07,620.07,372.04,248.03,On-Time,Online,0
PAY00002543,LOAN0009217,2024-12-14,2024-11-15,779.42,779.42,467.65,311.77,On-Time,Wire,0
PAY00002544,LOAN0009054,2023-03-28,2023-03-11,263.69,263.69,158.21,105.48,On-Time,Wire,0
PAY00002545,LOAN0002131,2024-06-24,2024-06-27,274.59,274.59,164.75,109.84,On-Time,Wire,0
PAY00002546,LOAN0007042,2023-04-20,2023-04-23,776.42,776.42,465.85,310.57,On-Time,ACH,0
PAY00002547,LOAN0000307,2024-05-12,2024-04-22,1164.23,1164.23,698.54,465.69,On-Time,ACH,0
PAY00002548,LOAN0003033,2023-10-01,2023-09-14,675.36,675.36,405.22,270.14,Late,Online,24
